--------------------------------------------------------------------------------
Marvellous Infosystems Process Logger : Sun Oct  1 23:15:14 2023
--------------------------------------------------------------------------------

{'pid': 1, 'name': 'systemd', 'username': 'root', 'vms': 163.30078125}
{'pid': 2, 'name': 'kthreadd', 'username': 'root', 'vms': 0.0}
{'pid': 3, 'name': 'rcu_gp', 'username': 'root', 'vms': 0.0}
{'pid': 4, 'name': 'rcu_par_gp', 'username': 'root', 'vms': 0.0}
{'pid': 5, 'name': 'slub_flushwq', 'username': 'root', 'vms': 0.0}
{'pid': 6, 'name': 'netns', 'username': 'root', 'vms': 0.0}
{'pid': 8, 'name': 'kworker/0:0H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 9, 'name': 'kworker/u16:0-phy0', 'username': 'root', 'vms': 0.0}
{'pid': 10, 'name': 'mm_percpu_wq', 'username': 'root', 'vms': 0.0}
{'pid': 11, 'name': 'rcu_tasks_kthread', 'username': 'root', 'vms': 0.0}
{'pid': 12, 'name': 'rcu_tasks_rude_kthread', 'username': 'root', 'vms': 0.0}
{'pid': 13, 'name': 'rcu_tasks_trace_kthread', 'username': 'root', 'vms': 0.0}
{'pid': 14, 'name': 'ksoftirqd/0', 'username': 'root', 'vms': 0.0}
{'pid': 15, 'name': 'rcu_preempt', 'username': 'root', 'vms': 0.0}
{'pid': 16, 'name': 'migration/0', 'username': 'root', 'vms': 0.0}
{'pid': 17, 'name': 'idle_inject/0', 'username': 'root', 'vms': 0.0}
{'pid': 18, 'name': 'kworker/0:1-cgwb_release', 'username': 'root', 'vms': 0.0}
{'pid': 19, 'name': 'cpuhp/0', 'username': 'root', 'vms': 0.0}
{'pid': 20, 'name': 'cpuhp/1', 'username': 'root', 'vms': 0.0}
{'pid': 21, 'name': 'idle_inject/1', 'username': 'root', 'vms': 0.0}
{'pid': 22, 'name': 'migration/1', 'username': 'root', 'vms': 0.0}
{'pid': 23, 'name': 'ksoftirqd/1', 'username': 'root', 'vms': 0.0}
{'pid': 24, 'name': 'kworker/1:0-cgroup_destroy', 'username': 'root', 'vms': 0.0}
{'pid': 25, 'name': 'kworker/1:0H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 26, 'name': 'cpuhp/2', 'username': 'root', 'vms': 0.0}
{'pid': 27, 'name': 'idle_inject/2', 'username': 'root', 'vms': 0.0}
{'pid': 28, 'name': 'migration/2', 'username': 'root', 'vms': 0.0}
{'pid': 29, 'name': 'ksoftirqd/2', 'username': 'root', 'vms': 0.0}
{'pid': 32, 'name': 'cpuhp/3', 'username': 'root', 'vms': 0.0}
{'pid': 33, 'name': 'idle_inject/3', 'username': 'root', 'vms': 0.0}
{'pid': 34, 'name': 'migration/3', 'username': 'root', 'vms': 0.0}
{'pid': 35, 'name': 'ksoftirqd/3', 'username': 'root', 'vms': 0.0}
{'pid': 37, 'name': 'kworker/3:0H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 38, 'name': 'cpuhp/4', 'username': 'root', 'vms': 0.0}
{'pid': 39, 'name': 'idle_inject/4', 'username': 'root', 'vms': 0.0}
{'pid': 40, 'name': 'migration/4', 'username': 'root', 'vms': 0.0}
{'pid': 41, 'name': 'ksoftirqd/4', 'username': 'root', 'vms': 0.0}
{'pid': 43, 'name': 'kworker/4:0H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 44, 'name': 'cpuhp/5', 'username': 'root', 'vms': 0.0}
{'pid': 45, 'name': 'idle_inject/5', 'username': 'root', 'vms': 0.0}
{'pid': 46, 'name': 'migration/5', 'username': 'root', 'vms': 0.0}
{'pid': 47, 'name': 'ksoftirqd/5', 'username': 'root', 'vms': 0.0}
{'pid': 49, 'name': 'kworker/5:0H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 50, 'name': 'cpuhp/6', 'username': 'root', 'vms': 0.0}
{'pid': 51, 'name': 'idle_inject/6', 'username': 'root', 'vms': 0.0}
{'pid': 52, 'name': 'migration/6', 'username': 'root', 'vms': 0.0}
{'pid': 53, 'name': 'ksoftirqd/6', 'username': 'root', 'vms': 0.0}
{'pid': 55, 'name': 'kworker/6:0H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 56, 'name': 'cpuhp/7', 'username': 'root', 'vms': 0.0}
{'pid': 57, 'name': 'idle_inject/7', 'username': 'root', 'vms': 0.0}
{'pid': 58, 'name': 'migration/7', 'username': 'root', 'vms': 0.0}
{'pid': 59, 'name': 'ksoftirqd/7', 'username': 'root', 'vms': 0.0}
{'pid': 60, 'name': 'kworker/7:0-events', 'username': 'root', 'vms': 0.0}
{'pid': 61, 'name': 'kworker/7:0H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 62, 'name': 'kdevtmpfs', 'username': 'root', 'vms': 0.0}
{'pid': 63, 'name': 'inet_frag_wq', 'username': 'root', 'vms': 0.0}
{'pid': 64, 'name': 'kauditd', 'username': 'root', 'vms': 0.0}
{'pid': 65, 'name': 'khungtaskd', 'username': 'root', 'vms': 0.0}
{'pid': 67, 'name': 'oom_reaper', 'username': 'root', 'vms': 0.0}
{'pid': 68, 'name': 'kworker/u16:2-events_power_efficient', 'username': 'root', 'vms': 0.0}
{'pid': 69, 'name': 'writeback', 'username': 'root', 'vms': 0.0}
{'pid': 70, 'name': 'kcompactd0', 'username': 'root', 'vms': 0.0}
{'pid': 71, 'name': 'ksmd', 'username': 'root', 'vms': 0.0}
{'pid': 73, 'name': 'khugepaged', 'username': 'root', 'vms': 0.0}
{'pid': 74, 'name': 'kintegrityd', 'username': 'root', 'vms': 0.0}
{'pid': 75, 'name': 'kblockd', 'username': 'root', 'vms': 0.0}
{'pid': 76, 'name': 'blkcg_punt_bio', 'username': 'root', 'vms': 0.0}
{'pid': 77, 'name': 'kworker/5:1-events', 'username': 'root', 'vms': 0.0}
{'pid': 78, 'name': 'tpm_dev_wq', 'username': 'root', 'vms': 0.0}
{'pid': 79, 'name': 'ata_sff', 'username': 'root', 'vms': 0.0}
{'pid': 80, 'name': 'md', 'username': 'root', 'vms': 0.0}
{'pid': 81, 'name': 'edac-poller', 'username': 'root', 'vms': 0.0}
{'pid': 82, 'name': 'devfreq_wq', 'username': 'root', 'vms': 0.0}
{'pid': 83, 'name': 'watchdogd', 'username': 'root', 'vms': 0.0}
{'pid': 84, 'name': 'kworker/0:1H-kblockd', 'username': 'root', 'vms': 0.0}
{'pid': 85, 'name': 'kworker/4:1-events', 'username': 'root', 'vms': 0.0}
{'pid': 86, 'name': 'kswapd0', 'username': 'root', 'vms': 0.0}
{'pid': 87, 'name': 'ecryptfs-kthread', 'username': 'root', 'vms': 0.0}
{'pid': 88, 'name': 'kthrotld', 'username': 'root', 'vms': 0.0}
{'pid': 89, 'name': 'irq/122-aerdrv', 'username': 'root', 'vms': 0.0}
{'pid': 90, 'name': 'irq/123-aerdrv', 'username': 'root', 'vms': 0.0}
{'pid': 91, 'name': 'irq/124-aerdrv', 'username': 'root', 'vms': 0.0}
{'pid': 92, 'name': 'kworker/6:1-cgroup_destroy', 'username': 'root', 'vms': 0.0}
{'pid': 93, 'name': 'kworker/2:1-mm_percpu_wq', 'username': 'root', 'vms': 0.0}
{'pid': 94, 'name': 'kworker/3:1-events', 'username': 'root', 'vms': 0.0}
{'pid': 96, 'name': 'acpi_thermal_pm', 'username': 'root', 'vms': 0.0}
{'pid': 97, 'name': 'xenbus_probe', 'username': 'root', 'vms': 0.0}
{'pid': 99, 'name': 'hwrng', 'username': 'root', 'vms': 0.0}
{'pid': 100, 'name': 'mld', 'username': 'root', 'vms': 0.0}
{'pid': 101, 'name': 'kworker/6:1H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 102, 'name': 'ipv6_addrconf', 'username': 'root', 'vms': 0.0}
{'pid': 109, 'name': 'kstrp', 'username': 'root', 'vms': 0.0}
{'pid': 111, 'name': 'zswap-shrink', 'username': 'root', 'vms': 0.0}
{'pid': 116, 'name': 'charger_manager', 'username': 'root', 'vms': 0.0}
{'pid': 135, 'name': 'kworker/2:1H-kblockd', 'username': 'root', 'vms': 0.0}
{'pid': 139, 'name': 'kworker/1:1H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 140, 'name': 'kworker/3:1H-kblockd', 'username': 'root', 'vms': 0.0}
{'pid': 153, 'name': 'kworker/5:1H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 154, 'name': 'kworker/7:1H-events_highpri', 'username': 'root', 'vms': 0.0}
{'pid': 155, 'name': 'kworker/4:1H-kblockd', 'username': 'root', 'vms': 0.0}
{'pid': 187, 'name': 'scsi_eh_0', 'username': 'root', 'vms': 0.0}
{'pid': 188, 'name': 'scsi_tmf_0', 'username': 'root', 'vms': 0.0}
{'pid': 189, 'name': 'scsi_eh_1', 'username': 'root', 'vms': 0.0}
{'pid': 190, 'name': 'scsi_tmf_1', 'username': 'root', 'vms': 0.0}
{'pid': 191, 'name': 'scsi_eh_2', 'username': 'root', 'vms': 0.0}
{'pid': 192, 'name': 'scsi_tmf_2', 'username': 'root', 'vms': 0.0}
{'pid': 195, 'name': 'kworker/4:2-mm_percpu_wq', 'username': 'root', 'vms': 0.0}
{'pid': 229, 'name': 'jbd2/sdb4-8', 'username': 'root', 'vms': 0.0}
{'pid': 230, 'name': 'ext4-rsv-conver', 'username': 'root', 'vms': 0.0}
{'pid': 242, 'name': 'kworker/2:2-cgroup_destroy', 'username': 'root', 'vms': 0.0}
{'pid': 270, 'name': 'systemd-journald', 'username': 'root', 'vms': 83.93359375}
{'pid': 294, 'name': 'kworker/6:2-mm_percpu_wq', 'username': 'root', 'vms': 0.0}
{'pid': 304, 'name': 'kworker/5:2-cgwb_release', 'username': 'root', 'vms': 0.0}
{'pid': 305, 'name': 'kworker/0:2-events', 'username': 'root', 'vms': 0.0}
{'pid': 309, 'name': 'systemd-udevd', 'username': 'root', 'vms': 26.28125}
{'pid': 382, 'name': 'kworker/u16:7-flush-8:16', 'username': 'root', 'vms': 0.0}
{'pid': 387, 'name': 'kworker/u16:12-phy0', 'username': 'root', 'vms': 0.0}
{'pid': 405, 'name': 'kworker/2:2H-kblockd', 'username': 'root', 'vms': 0.0}
{'pid': 412, 'name': 'irq/128-mei_me', 'username': 'root', 'vms': 0.0}
